#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C946
#Date Time: 2025-03-27 13:53:41.180
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.0005324482926829269,-0.8511006970446096
-0.0005323182926829269,-0.8534751009130357
-0.0005321882926829269,-0.8558495047814619
-0.0005320582926829269,-0.8575455075446234
-0.0005319282926829269,-0.8589023097551527
-0.0005317982926829269,-0.8609375130709466
-0.0005316682926829268,-0.8629727163867404
-0.0005315382926829269,-0.8639903180446374
-0.0005314082926829269,-0.8660255213604313
-0.0005312782926829269,-0.8677215241235928
-0.0005311482926829269,-0.8694175268867543
-0.0005310182926829269,-0.8714527302025482
-0.0005308882926829269,-0.8721311313078128
-0.0005307582926829269,-0.8741663346236067
-0.0005306282926829269,-0.876540738492033
-0.0005304982926829268,-0.8792543429130915
-0.0005303682926829269,-0.8816287467815176
-0.0005302382926829269,-0.8833247495446792
-0.0005301082926829269,-0.8846815517552085
-0.0005299782926829269,-0.8870559556236346
-0.0005298482926829269,-0.8884127578341638
-0.0005297182926829269,-0.8897695600446931
-0.0005295882926829269,-0.8907871617025901
-0.0005294582926829268,-0.891804763360487
-0.0005293282926829269,-0.8935007661236486
-0.0005291982926829269,-0.8958751699920747
-0.0005290682926829269,-0.8968927716499717
-0.0005289382926829269,-0.8985887744131332
-0.0005288082926829269,-0.8996063760710302
-0.0005286782926829269,-0.9013023788341917
-0.0005285482926829269,-0.9029983815973534
-0.0005284182926829268,-0.9050335849131472
-0.0005282882926829269,-0.9053727854657795
-0.0005281582926829269,-0.9063903871236765
-0.0005280282926829269,-0.908086389886838
-0.0005278982926829269,-0.9094431920973672
-0.0005277682926829269,-0.9104607937552642
-0.0005276382926829269,-0.9114783954131611
-0.0005275082926829269,-0.9128351976236904
-0.0005273782926829268,-0.914531200386852
-0.0005272482926829268,-0.9158880025973812
-0.0005271182926829269,-0.9179232059131751
-0.0005269882926829269,-0.9179232059131751
-0.0005268582926829269,-0.9196192086763366
-0.0005267282926829269,-0.9209760108868659
-0.0005265982926829269,-0.9219936125447629
-0.0005264682926829269,-0.9230112142026597
-0.0005263382926829269,-0.9233504147552921
-0.0005262082926829268,-0.9240288158605567
-0.0005260782926829269,-0.9257248186237182
-0.0005259482926829269,-0.9280992224921445
-0.0005258182926829269,-0.9291168241500414
-0.0005256882926829269,-0.930812826913203
-0.0005255582926829269,-0.9311520274658353
-0.0005254282926829269,-0.9311520274658353
-0.0005252982926829269,-0.9321696291237322
-0.0005251682926829268,-0.9338656318868938
-0.0005250382926829269,-0.935222434097423
-0.0005249082926829269,-0.9355616346500554
-0.0005247782926829269,-0.9365792363079523
-0.0005246482926829269,-0.9382752390711139
-0.0005245182926829269,-0.9392928407290108
-0.0005243882926829269,-0.9389536401763785
-0.0005242582926829269,-0.9403104423869078
-0.0005241282926829268,-0.9420064451500693
-0.0005239982926829269,-0.9426848462553339
-0.0005238682926829269,-0.9426848462553339
-0.0005237382926829269,-0.9440416484658631
-0.0005236082926829269,-0.9450592501237601
-0.0005234782926829269,-0.9450592501237601
-0.0005233482926829269,-0.9447200495711278
-0.0005232182926829269,-0.9457376512290248
-0.0005230882926829269,-0.9457376512290248
-0.0005229582926829268,-0.9467552528869216
-0.0005228282926829269,-0.9481120550974509
-0.0005226982926829269,-0.9484512556500833
-0.0005225682926829269,-0.9491296567553479
-0.0005224382926829269,-0.9508256595185094
-0.0005223082926829269,-0.952521662281671
-0.0005221782926829269,-0.9528608628343033
-0.0005220482926829269,-0.9528608628343033
-0.0005219182926829268,-0.9545568655974649
-0.0005217882926829269,-0.9545568655974649
-0.0005216582926829269,-0.955913667807994
-0.0005215282926829269,-0.9572704700185233
-0.0005213982926829269,-0.9576096705711556
-0.0005212682926829269,-0.9572704700185233
-0.0005211382926829269,-0.9582880716764203
-0.0005210082926829269,-0.9593056733343172
-0.0005208782926829268,-0.9599840744395818
-0.0005207482926829269,-0.9606624755448464
-0.0005206182926829269,-0.9606624755448464
-0.0005204882926829269,-0.9610016760974788
-0.0005203582926829269,-0.961340876650111
-0.0005202282926829269,-0.9630368794132727
-0.0005200982926829269,-0.9637152805185373
-0.0005199682926829269,-0.9640544810711695
-0.0005198382926829268,-0.9640544810711695
-0.0005197082926829269,-0.9640544810711695
-0.0005195782926829269,-0.9643936816238019
-0.0005194482926829269,-0.9650720827290665
-0.0005193182926829269,-0.9660896843869634
-0.0005191882926829269,-0.9657504838343312
-0.0005190582926829269,-0.966768085492228
-0.0005189282926829269,-0.966768085492228
-0.0005187982926829269,-0.9674464865974927
-0.0005186682926829268,-0.9684640882553897
-0.0005185382926829269,-0.9684640882553897
-0.0005184082926829269,-0.9694816899132865
-0.0005182782926829269,-0.9715168932290804
-0.0005181482926829269,-0.9715168932290804
-0.0005180182926829269,-0.9718560937817128
-0.0005178882926829269,-0.9711776926764482
